TIME_PERIOD,Crop_Production(1000 ha),Meat_Production(1000 tonnes),Milk_Production(1000 tonnes),Crop_Economy(Million euro),Milk_Economy(Million euro),Animal_Economy(Million euro),Fertilisers_Cost(Million euro),Plant_Protection_Cost(Million euro),Agriculture_Subsidies(Million euro),Agriculture_Economy(Million euro)
1982,5344.2,1172.22,8196.2,28506.54,4260.27,14075.92,1672.5,839.12,150.34,45878.96
1983,5350.8,1214.53,8338.37,30806.63,4320.04,14272.67,1565.36,905.84,158.5,48355.67
1984,5289.3,1252.3100000000002,8402.9,28847.94,4341.71,14289.33,1703.82,1038.38,150.69,46485.19
1985,4994.1,1270.15,8729.8,29000.62,4380.38,14247.84,1740.23,1036.94,150.5,46623.95
1986,5026.299999999999,1242.3000000000002,8745.4,29511.79,4352.23,14042.18,1729.79,1125.54,151.39,46996.19
1987,4868.7,1244.88,8858.1,30974.55,4363.92,14216.84,1918.35,1221.23,157.04,48770.66
1988,4735.8,1237.0,8789.5,29742.45,4305.91,14265.44,1907.03,1258.75,150.85,47666.06
1989,4784.200000000001,1226.0,8684.7,30513.72,4258.85,14165.08,1754.33,1211.25,152.53,48369.45
1990,4558.599999999999,1260.27,10374.4,28789.61,4575.48,14417.64,1604.07,1131.74,145.43,47023.72
1991,4550.2,1266.3799999999999,10257.0,31875.04,4441.4,14294.54,1597.65,1063.95,154.77,49962.62
1992,4358.0,1303.65,10160.8,31951.17,4393.13,14477.32,1633.95,1099.79,154.83,50132.42
1993,4204.9,1268.36,9934.4,31168.32,4290.4,14488.62,1638.86,1097.34,152.51,49282.29
1994,4208.700000000001,1251.0500000000002,10032.1,31049.54,4315.28,14621.95,1565.34,1142.79,152.3,49364.4
1995,4322.599999999999,1257.11,10455.1,30960.61,4550.82,15095.9,1559.13,1159.23,153.68,49775.44
1996,4294.3,1259.52,10673.7,31125.09,4648.19,15450.69,1568.39,1139.54,156.47,50250.83
1997,4266.0,1236.1499999999999,10586.0,31765.6,4617.18,15480.61,1698.39,1103.54,157.13,50823.6
1998,4138.1,1186.46,10877.0,32657.83,4695.7,15527.01,1597.38,1121.2,156.87,51856.9
1999,4240.8,1237.8700000000001,10874.53,34555.77,4769.65,15775.41,1625.51,1095.19,163.97,54018.51
2000,20731.2,1223.1699999999998,10647.75,33337.19,4718.52,15649.3,1673.75,1076.77,253.07,53413.1
2001,20047.5,1199.18,10659.6,33073.8,4778.2,15906.99,1751.24,1055.1,254.77,53360.63
2002,21370.399999999998,1196.8,10556.64,31728.06,4680.84,15784.42,1788.94,1023.98,258.18,51732.18
2003,17978.8,1187.61,10630.1,29971.73,4693.07,15753.08,1840.38,1012.65,230.88,49875.05
2004,23430.600000000002,1214.25,10615.38,35184.82,4684.13,15685.24,1886.98,978.94,284.42,55144.8
2005,21652.8,1175.7,10875.74,33780.1,4705.21,15424.87,1778.02,986.26,164.9,53162.3
2006,20352.3,1172.13,10877.6,32794.99,4748.85,15399.33,1743.6,946.53,157.81,52291.63
2007,20457.4,1187.97,10990.97,31960.95,4803.26,15941.65,1863.47,953.43,143.25,52317.14
2008,22000.43,1118.86,11181.86,32541.94,4868.47,16062.62,1630.54,918.59,158.05,53306.6
2009,17698.61,1096.06,11198.43,31442.93,4909.45,16111.23,1455.73,913.49,138.54,52216.78
2010,21119.47,1114.6100000000001,12686.29,31184.04,4896.25,16095.61,1435.35,911.66,143.16,52072.18
2011,18056.120000000003,1042.94,,31056.15,4832.77,16123.5,1563.82,877.39,140.12,52023.94
2012,19103.76,1013.29,,29411.67,4869.0,16057.39,1530.82,869.23,143.93,50273.58
2013,18725.17,891.87,,30181.34,4787.75,15766.37,1498.52,883.13,134.12,50821.49
2014,19895.0,736.0699999999999,13036.62,29177.58,4819.74,15640.07,1533.29,899.47,109.84,49652.53
2015,17601.570000000003,823.72,13158.47,31008.69,4839.92,15682.69,1557.67,925.56,135.0,51487.8
2016,18542.23,842.5799999999999,13321.7,30689.0,5001.88,15988.43,1591.47,897.33,136.03,51529.14
2017,16747.84,791.4499999999999,13623.01,28924.62,5161.77,15939.15,1601.81,905.58,141.92,49669.97
2018,16834.84,844.8000000000001,13804.97,30407.15,5230.2,15797.83,1553.76,889.28,126.02,51013.72
2019,16679.01,812.46,13925.59,29688.12,5237.22,15795.53,1559.97,907.96,125.32,50381.57
2020,17259.350000000002,762.0799999999999,13399.8,30211.63,5376.76,15793.43,1676.97,966.97,124.78,50657.83
2021,16838.73,778.09,13902.71,29584.7,5510.55,16073.59,1651.82,937.96,128.48,50408.0
2022,14512.39,777.47,13850.25,28889.65,5484.41,15977.5,1610.52,952.97,113.65,49368.38
2023,15675.27,647.41,13749.41,27513.12,5424.08,15825.58,1586.36,948.21,115.09,47793.67
