DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2000,295.21,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2001,275.74,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2002,273.72,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2003,299.79,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2004,303.51,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2005,282.78,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2006,310.05,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2007,288.88,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2008,275.21,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2009,284.68,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2010,281.21,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2011,287.97,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2012,288.4,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2013,278.81,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2014,308.39,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2015,312.40,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2016,313.22,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2017,316.17,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2018,320.82,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2019,317.82,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2020,314.31,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2021,318.08,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2022,327.96,
ESTAT:APRI_AP_ANOUTA(1.0),28/06/24 23:00:00,A,EUR,11120000,IT,2023,362.90,
